Report Name: LNDEMO_EQ_ASIA_ESG_ATTR_BRINSON,,,,,,,,,,,,,,
Portfolio: LPDEMO_ASIA_ESG,,,,,,,,,,,,,,
Benchmark: MXAP,,,,,,,,,,,,,,
Run Date: 07/22/2020,,,,,,,,,,,,,,
Period: 12/31/2019 - 07/21/2020,,,,,,,,,,,,,,
Base Currency: USD,,,,,,,,,,,,,,
Classification: BICS Sector,,,,,,,,,,,,,,
Level,Name,Avg % Wgt[P],Avg % Wgt[B],Avg % Wgt[D],CTR[P],CTR[B],CTR[D],Tot Rtn[P],Tot Rtn[B],Tot Rtn[D],Tot Attr,Alloc,Selec,Curr
2,600273 C1,,0.00098317,-0.00098317,,-0.00045541,0.00045541,,-27.90637409,27.90637409,0.00054337,,0.0005104,0.00003297
2,600282 C1,,0.00099773,-0.00099773,,-0.00021113,0.00021113,,-15.50553845,15.50553845,0.00012052,,0.00008605,0.00003446
2,600309 C1,,0.01424092,-0.01424092,,0.00239081,-0.00239081,,17.87946557,-17.87946557,-0.00481679,,-0.00486739,0.00005061
2,600346 C1,,0.00804153,-0.00804153,,0.00034629,-0.00034629,,7.05613162,-7.05613162,-0.00088903,,-0.00094183,0.0000528
2,600352 C1,,0.00395113,-0.00395113,,0.00014277,-0.00014277,,6.79867023,-6.79867023,-0.00041588,,-0.00044116,0.00002528
2,600362 C1,,0.00271831,-0.00271831,,-0.00027389,0.00027389,,-7.01742456,7.01742456,0.00046398,,0.00045242,0.00001157
2,600392 C1,,0.00094,-0.00094,,-0.00022154,0.00022154,,-15.52244732,15.52244732,0.00010232,,0.00006982,0.00003251
2,600426 C1,,0.00274814,-0.00274814,,0.00066372,-0.00066372,,23.79461224,-23.79461224,-0.0012396,,-0.00124909,0.0000095
2,600486 C1,,0.00217181,-0.00217181,,0.00063453,-0.00063453,,30.62747439,-30.62747439,-0.00122434,,-0.00123156,0.00000722
2,600489 C1,,0.00279148,-0.00279148,,0.00063357,-0.00063357,,22.86529787,-22.86529787,-0.00113037,,-0.00114031,0.00000994
2,600547 C1,,0.00864563,-0.00864563,,0.00156623,-0.00156623,,19.47682098,-19.47682098,-0.00296713,,-0.00300395,0.00003682
2,600549 C1,,0.001614,-0.001614,,0.00025155,-0.00025155,,17.82654077,-17.82654077,-0.00046456,,-0.00047467,0.0000101
